Date,gdp_growth
20-May-87,
21-May-87,
22-May-87,
25-May-87,
26-May-87,
27-May-87,
28-May-87,
29-May-87,
01-Jun-87,
02-Jun-87,
03-Jun-87,
04-Jun-87,
05-Jun-87,
08-Jun-87,
09-Jun-87,
10-Jun-87,
11-Jun-87,
12-Jun-87,
15-Jun-87,
16-Jun-87,
17-Jun-87,
18-Jun-87,
19-Jun-87,
22-Jun-87,
23-Jun-87,
24-Jun-87,
25-Jun-87,
26-Jun-87,
29-Jun-87,
30-Jun-87,
01-Jul-87,4884.555
02-Jul-87,4884.555
03-Jul-87,4884.555
06-Jul-87,4884.555
07-Jul-87,4884.555
08-Jul-87,4884.555
09-Jul-87,4884.555
10-Jul-87,4884.555
13-Jul-87,4884.555
14-Jul-87,4884.555
15-Jul-87,4884.555
16-Jul-87,4884.555
17-Jul-87,4884.555
20-Jul-87,4884.555
21-Jul-87,4884.555
22-Jul-87,4884.555
23-Jul-87,4884.555
24-Jul-87,4884.555
27-Jul-87,4884.555
28-Jul-87,4884.555
29-Jul-87,4884.555
30-Jul-87,4884.555
31-Jul-87,4884.555
03-Aug-87,4884.555
04-Aug-87,4884.555
05-Aug-87,4884.555
06-Aug-87,4884.555
07-Aug-87,4884.555
10-Aug-87,4884.555
11-Aug-87,4884.555
12-Aug-87,4884.555
13-Aug-87,4884.555
14-Aug-87,4884.555
17-Aug-87,4884.555
18-Aug-87,4884.555
19-Aug-87,4884.555
20-Aug-87,4884.555
21-Aug-87,4884.555
24-Aug-87,4884.555
25-Aug-87,4884.555
26-Aug-87,4884.555
27-Aug-87,4884.555
28-Aug-87,4884.555
31-Aug-87,4884.555
01-Sep-87,4884.555
02-Sep-87,4884.555
03-Sep-87,4884.555
04-Sep-87,4884.555
07-Sep-87,4884.555
08-Sep-87,4884.555
09-Sep-87,4884.555
10-Sep-87,4884.555
11-Sep-87,4884.555
14-Sep-87,4884.555
15-Sep-87,4884.555
16-Sep-87,4884.555
17-Sep-87,4884.555
18-Sep-87,4884.555
21-Sep-87,4884.555
22-Sep-87,4884.555
23-Sep-87,4884.555
24-Sep-87,4884.555
25-Sep-87,4884.555
28-Sep-87,4884.555
29-Sep-87,4884.555
30-Sep-87,4884.555
01-Oct-87,5007.994
02-Oct-87,5007.994
05-Oct-87,5007.994
06-Oct-87,5007.994
07-Oct-87,5007.994
08-Oct-87,5007.994
09-Oct-87,5007.994
12-Oct-87,5007.994
13-Oct-87,5007.994
14-Oct-87,5007.994
15-Oct-87,5007.994
16-Oct-87,5007.994
19-Oct-87,5007.994
20-Oct-87,5007.994
21-Oct-87,5007.994
22-Oct-87,5007.994
23-Oct-87,5007.994
26-Oct-87,5007.994
27-Oct-87,5007.994
28-Oct-87,5007.994
29-Oct-87,5007.994
30-Oct-87,5007.994
02-Nov-87,5007.994
03-Nov-87,5007.994
04-Nov-87,5007.994
05-Nov-87,5007.994
06-Nov-87,5007.994
09-Nov-87,5007.994
10-Nov-87,5007.994
11-Nov-87,5007.994
12-Nov-87,5007.994
13-Nov-87,5007.994
16-Nov-87,5007.994
17-Nov-87,5007.994
18-Nov-87,5007.994
19-Nov-87,5007.994
20-Nov-87,5007.994
23-Nov-87,5007.994
24-Nov-87,5007.994
25-Nov-87,5007.994
26-Nov-87,5007.994
27-Nov-87,5007.994
30-Nov-87,5007.994
01-Dec-87,5007.994
02-Dec-87,5007.994
03-Dec-87,5007.994
04-Dec-87,5007.994
07-Dec-87,5007.994
08-Dec-87,5007.994
09-Dec-87,5007.994
10-Dec-87,5007.994
11-Dec-87,5007.994
14-Dec-87,5007.994
15-Dec-87,5007.994
16-Dec-87,5007.994
17-Dec-87,5007.994
18-Dec-87,5007.994
21-Dec-87,5007.994
22-Dec-87,5007.994
23-Dec-87,5007.994
24-Dec-87,5007.994
25-Dec-87,5007.994
28-Dec-87,5007.994
29-Dec-87,5007.994
30-Dec-87,5007.994
31-Dec-87,5007.994
01-Jan-88,5073.372
04-Jan-88,5073.372
05-Jan-88,5073.372
06-Jan-88,5073.372
07-Jan-88,5073.372
08-Jan-88,5073.372
11-Jan-88,5073.372
12-Jan-88,5073.372
13-Jan-88,5073.372
14-Jan-88,5073.372
15-Jan-88,5073.372
18-Jan-88,5073.372
19-Jan-88,5073.372
20-Jan-88,5073.372
21-Jan-88,5073.372
22-Jan-88,5073.372
25-Jan-88,5073.372
26-Jan-88,5073.372
27-Jan-88,5073.372
28-Jan-88,5073.372
29-Jan-88,5073.372
01-Feb-88,5073.372
02-Feb-88,5073.372
03-Feb-88,5073.372
04-Feb-88,5073.372
05-Feb-88,5073.372
08-Feb-88,5073.372
09-Feb-88,5073.372
10-Feb-88,5073.372
11-Feb-88,5073.372
12-Feb-88,5073.372
15-Feb-88,5073.372
16-Feb-88,5073.372
17-Feb-88,5073.372
18-Feb-88,5073.372
19-Feb-88,5073.372
22-Feb-88,5073.372
23-Feb-88,5073.372
24-Feb-88,5073.372
25-Feb-88,5073.372
26-Feb-88,5073.372
29-Feb-88,5073.372
01-Mar-88,5073.372
02-Mar-88,5073.372
03-Mar-88,5073.372
04-Mar-88,5073.372
07-Mar-88,5073.372
08-Mar-88,5073.372
09-Mar-88,5073.372
10-Mar-88,5073.372
11-Mar-88,5073.372
14-Mar-88,5073.372
15-Mar-88,5073.372
16-Mar-88,5073.372
17-Mar-88,5073.372
18-Mar-88,5073.372
21-Mar-88,5073.372
22-Mar-88,5073.372
23-Mar-88,5073.372
24-Mar-88,5073.372
25-Mar-88,5073.372
28-Mar-88,5073.372
29-Mar-88,5073.372
30-Mar-88,5073.372
31-Mar-88,5073.372
01-Apr-88,5190.036
04-Apr-88,5190.036
05-Apr-88,5190.036
06-Apr-88,5190.036
07-Apr-88,5190.036
08-Apr-88,5190.036
11-Apr-88,5190.036
12-Apr-88,5190.036
13-Apr-88,5190.036
14-Apr-88,5190.036
15-Apr-88,5190.036
18-Apr-88,5190.036
19-Apr-88,5190.036
20-Apr-88,5190.036
21-Apr-88,5190.036
22-Apr-88,5190.036
25-Apr-88,5190.036
26-Apr-88,5190.036
27-Apr-88,5190.036
28-Apr-88,5190.036
29-Apr-88,5190.036
02-May-88,5190.036
03-May-88,5190.036
04-May-88,5190.036
05-May-88,5190.036
06-May-88,5190.036
09-May-88,5190.036
10-May-88,5190.036
11-May-88,5190.036
12-May-88,5190.036
13-May-88,5190.036
16-May-88,5190.036
17-May-88,5190.036
18-May-88,5190.036
19-May-88,5190.036
20-May-88,5190.036
